属性名称,缩写,描述,id,类别,权限,处理方,备注,重置是否需要清除,父记录
fv,fv,固件版本号,61,配置类,读,设备,,清除,
fblck,fblck,重置锁定开关,67,配置类,"读, 写",设备,,保留,
fbnum,fbnum,重置次数,68,配置类,"读, 写",设备,,保留,
component_num_config,c_n_c,组件数目设置,112,配置类,"读, 写",,,保留,
3rdPartySyncBitmask,3rdPartySyncBitmask,同步三方设定,227,配置类,"读, 写",网关,,保留,
name,name,名称,270,配置类,"读, 写",网关,,保留,
icon,icon,图标,271,配置类,"读, 写",网关,,保留,
online,o,是否在线,272,应用类,读,网关,,,
support_fblck,support_fblck,是否支持重置锁定,273,配置类,"读, 写",网关,(但当前设备不上报，默认均支持),保留,
 Connectivity Protocols type,cpt,当前接入协议,274,配置类,读,网关,以太网协议、wifi协议、mesh协议、dali协议,保留,
run power,run_power,设备运行功率 单位瓦,288,配置类,"读, 写",后端,,保留,
life,life,设备预期寿命 单位小时,289,配置类,"读, 写",后端,,保留,
dev_alarm,dev_alarm,设备异常告警信息 具体内容网关自行设置,296,配置类,"读, 写",网关,,清除,
